Year,County,Income
2013,NEW YORK    ,"$71,443 "
2013,NIAGARA     ,"$46,752 "
2013,ONEIDA      ,"$44,031 "
2013,ONONDAGA    ,"$52,055 "
2013,ONTARIO     ,"$57,846 "
2013,ORANGE      ,"$68,249 "
2013,ORLEANS     ,"$43,876 "
2013,OSWEGO      ,"$46,281 "
2013,OTSEGO      ,"$47,689 "
2013,PUTNAM      ,"$92,014 "
2013,QUEENS      ,"$56,307 "
2013,RENSSELAER  ,"$56,643 "
2013,RICHMOND    ,"$68,621 "
2013,ROCKLAND    ,"$80,132 "
2013,SARATOGA    ,"$43,556 "
2013,SCHENECTADY ,"$69,917 "
2013,SCHOHARIE   ,"$53,978 "
2013,SCHUYLER    ,"$49,307 "
2013,SENECA      ,"$44,080 "
2013,ST. LAWRENCE,"$45,265 "
2013,STEUBEN     ,"$46,540 "
2013,SUFFOLK     ,"$84,940 "
2013,SULLIVAN    ,"$46,928 "
2013,TIOGA       ,"$51,026 "
2013,TOMPKINS    ,"$49,457 "
2013,ULSTER      ,"$56,933 "
2013,WARREN      ,"$52,552 "
2013,WASHINGTON  ,"$48,522 "
2013,WAYNE       ,"$50,603 "
2013,WESTCHESTER ,"$83,094 "
2013,WYOMING     ,"$51,676 "
2013,YATES       ,"$45,509 "
2014,ALBANY      ,"$60,371 "
2014,ALLEGANY    ,"$42,655 "
2014,BRONX       ,"$33,687 "
2014,BROOME      ,"$46,283 "
2014,CATTARAUGUS ,"$43,892 "
2014,CAYUGA      ,"$52,792 "
2014,CHAUTAUQUA  ,"$41,757 "
2014,CHEMUNG     ,"$48,880 "
2014,CHENANGO    ,"$46,387 "
2014,CLINTON     ,"$51,576 "
2014,COLUMBIA    ,"$55,047 "
2014,CORTLAND    ,"$48,357 "
2014,DELAWARE    ,"$45,860 "
2014,DUTCHESS    ,"$70,925 "
2014,ERIE        ,"$50,134 "
2014,ESSEX       ,"$50,182 "
2014,FRANKLIN    ,"$45,704 "
2014,FULTON      ,"$45,409 "
2014,GENESEE     ,"$52,410 "
2014,GREENE      ,"$52,597 "
2014,HAMILTON    ,"$49,137 "
2014,HERKIMER    ,"$44,148 "
2014,JEFFERSON   ,"$49,781 "
2014,KINGS       ,"$47,547 "
2014,LEWIS       ,"$47,542 "
2014,LIVINGSTON  ,"$49,920 "
2014,MADISON     ,"$51,600 "
2014,MONROE      ,"$51,371 "
2014,MONTGOMERY  ,"$40,923 "
2014,NASSAU      ,"$98,312 "
2014,NEW YORK    ,"$75,459 "
2014,NIAGARA     ,"$49,274 "
2014,ONEIDA      ,"$48,350 "
2014,ONONDAGA    ,"$52,892 "
2014,ONTARIO     ,"$58,473 "
2014,ORANGE      ,"$69,228 "
2014,ORLEANS     ,"$46,577 "
2014,OSWEGO      ,"$46,926 "
2014,OTSEGO      ,"$43,104 "
2014,PUTNAM      ,"$94,334 "
2014,QUEENS      ,"$56,866 "
2014,RENSSELAER  ,"$59,925 "
2014,RICHMOND    ,"$70,299 "
2014,ROCKLAND    ,"$83,162 "
2014,SARATOGA    ,"$43,518 "
2014,SCHENECTADY ,"$71,885 "
2014,SCHOHARIE   ,"$56,508 "
2014,SCHUYLER    ,"$48,718 "
2014,SENECA      ,"$48,135 "
2014,ST. LAWRENCE,"$49,809 "
2014,STEUBEN     ,"$46,849 "
2014,SUFFOLK     ,"$85,886 "
2014,SULLIVAN    ,"$48,908 "
2014,TIOGA       ,"$52,195 "
2014,TOMPKINS    ,"$51,880 "
2014,ULSTER      ,"$56,718 "
2014,WARREN      ,"$54,585 "
2014,WASHINGTON  ,"$47,547 "
2014,WAYNE       ,"$49,191 "
2014,WESTCHESTER ,"$83,152 "
2014,WYOMING     ,"$53,783 "
2014,YATES       ,"$48,368 "
